ac|en|fi|pt|ru|zh|ja|ko|de
weapon_melee20|Hand Axe|Käsikirves|Machado|Одноручный топор|手斧|ハンドアックス|손도끼|Handaxt
weapon_melee21|Hatchet|Hatchet|Hatchet|Hatchet|斧头|ハチェット|Hatchet|Beil
weapon_melee22|Giant Axe|Jättiläiskirves|Machado Gigante|Giant Axe|巨型斧头|ジャイアントアックス|Giant Axe|Riesenaxt
weapon_melee23|Naga|Naga|Naga|Naga|娜迦|ナガ|Naga|Naga
weapon_melee24|War Axe|Sotakirves|Machado de guerra|Военный топор|战斧|戦斧|전쟁 도끼|Kriegsaxt
weapon_melee25|Cleaver|Cleaver|Cleaver|Cleaver|克利夫|クリーバー|Cleaver|Hackbeil
weapon_melee26|Bearded Axe|Parrakas kirves|Machado barbudo|Bearded Axe|大胡子斧头|ビアードアックス|Bearded Axe|Bärtige Axt
weapon_melee27|Broad Axe|Leveä kirves|Machado Largo|Broad Axe|阔斧|ブロードアックス|Broad Axe|Breitaxt
weapon_melee28|Katana|Katana|Katana|Катана|武士刀|刀|일본도|Katana
weapon_melee29|War Blade|Sotaterä|Lâmina de guerra|War Blade|战刀|ウォーブレード|War Blade|Kriegsklinge
weapon_melee30|Sharp Blade|Terävä terä|Lâmina afiada|Sharp Blade|锋利的刀片|シャープなブレード|Sharp Blade|Scharfe Klinge
weapon_melee31|Wakizashi|Wakizashi|Wakizashi|Wakizashi|若泽|ワキザシ|Wakizashi|Wakizashi
weapon_melee32|War Hammer|Sotavasara|Martelo de Guerra|Боевой молот|战锤|ウォーハンマー|전투용 망치|Kriegshammer
weapon_melee33|Battle Mallet|Taistelumaila|Malete de batalha|Battle Mallet|战锤|バトルマレット|Battle Mallet|Schlachthammer
weapon_melee34|Battle Hammer|Taisteluvasara|Martelo de batalha|Battle Hammer|战锤|バトルハンマー|Battle Hammer|Kampfhammer
weapon_melee35|Great Mallet|Great Mallet|Grande Martelo|Great Mallet|大马列|グレートマレット|Great Mallet|Great Mallet
weapon_melee36|Battle Crusher|Taistelumurskain|Triturador de Batalha|Палица|战斗破碎机|バトルクラッシャー|배틀 크러셔|Kampfbrecher
weapon_melee37|Maul|Maul|Maul|Maul|毛尔|モール|Maul|Maul
weapon_melee38|Martel de Fer|Martel de Fer|Martel de Fer|Martel de Fer|马特尔-德费尔|マーテル・ド・フェール|Martel de Fer|Martel de Fer
weapon_melee39|War Maul|War Maul|Maul de Guerra|War Maul|战锤|ウォーマウル|War Maul|Kriegsmulde
weapon_melee40|Double Axe|Tuplakirves|Machado Duplo|Двойной топор|双斧|ダブルアックス|이중 도끼|Doppelaxt
weapon_melee41|Great Axe|Suuri kirves|Grande Machado|Great Axe|大斧头|グレートアックス|Great Axe|Große Axt
weapon_melee42|Twin Axe|Twin Axe|Machado Gêmeo|Twin Axe|双斧头|ツインアックス|Twin Axe|Zwillingsaxt
weapon_melee43|Ettin Axe|Ettin Axe|Ettin Axe|Ettin Axe|埃廷斧|エッティンアックス|Ettin Axe|Ettin Axt
weapon_melee44|Mace|Mace|Mace|Mace|Mace|Mace|Mace|Mace
weapon_melee45|Devil Star|Devil Star|Devil Star|Devil Star|Devil Star|Devil Star|Devil Star|Devil Star
weapon_melee46|Flanged Mace|Flanged Mace|Flanged Mace|Flanged Mace|Flanged Mace|Flanged Mace|Flanged Mace|Flanged Mace
weapon_melee47|Morning Star|Morning Star|Morning Star|Morning Star|Morning Star|Morning Star|Morning Star|Morning Star
||||||||
[weapon_melee_unique]||||||||
weapon_melee_unique0|Godfather|Kummisetä|Padrinho|Крестный отец|教父|ゴッドファーザー|대부|Gevatter
weapon_melee_unique1|Jade Warrior's Gladius|Jadesoturin miekka|Gládio do Guerreiro Jade|Меч Нефритового Воина|翡翠战士的短剑|翡翠戦士のグラディウス|전사 제이드의 글래디우스|Gladius des Jadekriegers
weapon_melee_unique2|Storm Katana|Myrskykatana|Katana Tempestade|Катана Бури|风暴武士刀|嵐のカタナ|스톰 카타나|Sturmkatana
weapon_melee_unique3|Molten Sword|Sula miekka|Espada Derretida|Расплавленный Меч|炽热剑|溶岩の剣|용해 된 검|Geschmolzenes Schwert
weapon_melee_unique4|Hellslayer|Helvetinsurmaaja|Assassino do Inferno|Адский Разрушитель|地狱杀手|ヘルスレイヤー|지옥 레이어|Höllenschlächter
weapon_melee_unique5|Dragon Knight's Flail|Lohikäärmeritarin varsta|Mangual do Cavaleiro Dragão|Цеп Рыцаря-Дракона|龙骑士的连枷|ドラゴンナイトフレイル|드래곤 나이트의 도리깨|Drachenritterflegel
weapon_melee_unique6|Rift Commander's Axe|Repemäkomentajan Kirves|Machado do Comandante da Fenda|Топор Командира Разлома|裂谷指挥官的斧头|裂け目の司令官の斧|리프트 사령관의 도끼|Axt des Risskommandanten
weapon_melee_unique7|The Undying|Kuolematon|O Imortal|Объятия Смерти|不死族|不死の者|죽지 않는 자|Das Unsterbliche
weapon_melee_unique8|Shattered Dimensions|Pirstoutunut Ulottuvuus|Dimensões Estilhaçadas|Расколотый Мир|破碎空间|崩壊した次元|부서진 차원|Zerbrochene Dimensionen
weapon_melee_unique9|Ashbringer|Tuhkantuoja|Ashbringer|Вестник Пепла|灰烬使者|アッシュブリンガー|애쉬브링어|Aschebringer
weapon_melee_unique10|Death's Mirror|Kuoleman peili|Espelho da Morte|Зеркало Смерти|死亡之镜|死の鏡|죽음의 거울|Todesspiegel
weapon_melee_unique11|Odin's Battle Axe|Odinin sotakirves|Machado de Batalha de Odin|Боевой топор Одина|奥丁的战斧|オーディンのバトル・アックス|오딘의 전투 도끼|Odins Streitaxt
weapon_melee_unique12|Wakayka's Tomahawk|Wakaykan tomahawk|Tomahawk de Wakayka|Томагавк Вакайки|瓦卡卡的战斧|ワカイカのトマホーク|와카카의 토마호크|Wakaykas Tomahawk
weapon_melee_unique13|Gurag's Stone Crusher|Guragin kivimurskain|Esmagador de Pedras de Gurag|Палица Гурага|古拉格的碎石机|グーラグのストーン・クラッシャー|구라그의 스톤 크러셔|Gurags Steinzermalmer
weapon_melee_unique14|Death's Scythe|Kuoleman viikate|Foice da Morte|Коса Смерти|死神的镰刀|死の大鎌|죽음의 낫|Todessense
weapon_melee_unique15|Hiyoki's Vorpal Katana|Hiyokin sähkökatana|Katana Vorpal de Hiyoki|Вострая Катана Хиёки|希约基的刺穿武士刀|ヒヨキの首切りカタナ|히요키의 보팔 카타나|Hiyokis Tödliches Katana
weapon_melee_unique16|Hanzo's Flaming Katana|Hanzon liekkikatana|Katana Flamejante de Hanzo|Пылающая Катана Хандзо|汉佐的火焰武士刀|ハンゾーの炎のカタナ|한조의 불타는 카타나|Hanzos Flammendes Katana
weapon_melee_unique17|Genji's Sword of Fate|Genjin kohtalon miekka|Espada do Destino de Genji|Меч Судьбы Гэндзи|根吉的命运之剑|ゲンジの運命の剣|겐지의 운명의 검|Genjis Schicksalsschwert
weapon_melee_unique18|Wind Guardian's Gladius|Tuulenvartijan Gladius|Gládio do Guardião do Vento|Меч Стража Ветра|风守护者的短剑|風の番人のグラディウス|바람 수호자의 글라디우스|Gladius des Windwächters
weapon_melee_unique19|Sand Crusader's Scimitar|Hiekkaristiretkeilijän Sapeli|Cimitarra do Cruzador da Areia|Меч Воина Песков|沙漠十字军的弯刀|サンド・クルセーダーのシミター|모래 수호자의 글라디우스|Krummsäbel des Kreuzritters der Sande
weapon_melee_unique20|Azurewrath|Azurewrath|Azurewrath|Лазурный Гнев|阿祖尔之怒|アズアラス|에이저 레이스|Azurblauer Zorn
weapon_melee_unique21|Holy Warrior's Phase Blade|Pyhän Soturin Valomiekka|Lâmina de Fase do Guerreiro Sagrado|Фазовый Клинок Воина Света|圣战士的幻化之刃|聖なる戦士の位相の刃|신성한 전사의 페이즈 블레이드|Phasenklinge des Heiligen Kriegers
weapon_melee_unique22|Steve's Mighty Sword|Teemun mahtimiekka|Espada Poderosa de Steve|Огромный меч Стива|史蒂夫的威剑|スティーブの偉大な剣|스티브의 신성한 검|Steves Mächtiges Schwert
weapon_melee_unique23|St. Gabriel's Retribution|Pyhän Gabrielin rangaistus|Castigo de São Gabriel|Карающий меч Св. Габлиэля|圣加布里埃尔的报应|聖ガブリエルの報復|성 가브리엘의 보복|St. Gabriels Strafe
weapon_melee_unique24|Thor's Battle Sword|Odinin sotakirves|Espada de Batalha de Odin|Боевой меч Одина|奥丁的战斗剑|オーディンのバトル・ソード|오딘의 전투 검|Odins Kriegsschwert
weapon_melee_unique25|Viking's Sacred Axe|Viikingin pyhä kirves|Machado sagrado do Viking|Священный топор Викинга|维京人的圣斧|バイキングの神聖な斧|바이킹의 신성한 도끼|Heilige Wikingeraxt
weapon_melee_unique26|Nomad's Sandslicer|Vaeltajan hiekkapeitsi|Fatiador de Areia do Nômade|Клинок Кочевника|流浪者的沙切割机|ノマドのサンドスライサー|노마드의 샌드슬라이서|Sandschneider des Nomaden
weapon_melee_unique27|Nobunaga's Battle Slicer|Nobunagan Taisteluleikkuri|Fatiador de Batalha de Nobunaga|Клинок Нобунага|织田信长的战斗切片机|信長のバトルスライサー|노부나가의 배틀 슬라이서|Kampfschneider des Nobunaga
weapon_melee_unique28|Molten Dagger|Sula Tikari|Adaga Fundida|Расплавленный Кинжал|熔化的匕首|モルテンダガー|녹은 단검|Geschmolzener Dolch
weapon_melee_unique29|Icy Shank|Jäinen pistäjä|Haste Gelada|Ледяной Укус|冰冷的柄|アイシーシャンク|아이시 생크|Eisiges Bein
weapon_melee_unique30|Darkness|Pimeys|Escuridão|Тьма|黑暗|ダークネス|어둠|Dunkelheit
weapon_melee_unique31|Scarred Battle Darts|Arpiset Taistelutikat|Dardos de Batalha Marcados|Ржавые метательные ножи|伤痕累累战斗飞镖|傷のあるバトルダーツ|상처난 전투 다트|Vernarbte Kampfdarts
weapon_melee_unique32|Gladiator's Wrecking Ball|Gladiaattorin Purkukuula|Bola de Demolição do Gladiador|Шаровой Таран Гладиатора|角斗士的破碎球|グラディエーターのレッキングボール|글라디에이터의 파괴용 공|Abrissbirne des Gladiators
weapon_melee_unique33|Demon Blade|Demonimiekka|Lâmina do Demônio|Клинок Демона|妖刀|悪魔の刃|악마의 칼날|Dämonenklinge
weapon_melee_unique34|Shadow Carver|Varjoleikkaaja|Entalhador das Sombras|Жнец Теней|影子卡佛|シャドウカーバー|그림자 조각가|Schattenschneider
weapon_melee_unique35|Sacred Whip|Siunattu Ruoska|Chicote Sagrado|Священный хлыст|神圣的鞭子|聖なる鞭|신성한 채찍|Heilige Peitsche
weapon_melee_unique36|Nightmare Slasher|Painajaisviiltäjä|Fatiadora de Pesadelo|Цеп Ужаса|噩梦杀人狂|ナイトメアスラッシャー|악몽 슬래셔|Alptraummesserstecher
weapon_melee_unique37|Frozen Carver|Jäinenleikkaaja|Entalhador Congelado|Цеп Леденящего Ужаса|冻结卡佛|フローズンカーバー|냉동 조각가|Gefrorener Schlitzer
weapon_melee_unique38|Unholy God's Flail|Epäpyhän Jumalan Varsta|Mangual do Deus Profano|Цеп Нечестивого Божества|邪恶的神的连枷|不浄な神のフレイル|부정한 신의 도리깨|Flegel des unheiligen Gottes
weapon_melee_unique39|Molten Hammer|Sula Vasara|Martelo Fundido|Расплавленный Молот|熔融锤|モルテンハンマー|녹은 망치|Geschmolzener Hammer
weapon_melee_unique40|Icy Crusher|Jäämurskain|Triturador Gelado|Ледокол|冰冷的破碎机|アイシークラッシャー|아이시 크러셔|Eisiger Zerstörer
weapon_melee_unique41|The Light of Dawn|Aamunkajo|A Luz do Amanhecer|Заря|黎明的曙光|夜明けの光|새벽의 빛|Licht des Sonnenaufgangs
weapon_melee_unique42|Gladiator's Skullcrusher|Gladiaattorin Kallonmurskain|Esmagador de Caveiras do Gladiador|Крушитель Черепов Гладиатора|角斗士的碎颅机|グラディエーターのスカルクラッシャー|글라디에이터의 스컬크러셔|Schädelzerstörer des Gladiators
weapon_melee_unique43|Masamune|Masamune|Masamune|Масамунэ|正宗|政宗|마사무네|Masamune
weapon_melee_unique44|Muramasa|Muramasa|Muramasa|Мурамаса|村正|村正|무라마사|Muramasa
weapon_melee_unique45|Crystal Infused Axe|Kristalliin upotettu kirves|Machado de Cristal|Кристаллический Топор|水晶斧|クリスタル注入斧|수정이 주입 된 도끼|Kristall-infundierte Axt
weapon_melee_unique46|Crystal Infused Sword|Kristalliin upotettu miekka|Espada de Cristal Infundida|Кристаллический Меч|水晶剑|クリスタルインフューズドソード|수정이 주입 된 검|Kristallgetränktes Schwert
weapon_melee_unique47|Sung Lee's Destroyer Flail|Sung Leen tuhoaja Flail|Mangual do Destroyer de Sung Lee|Цеп Разрушения Сон Ли|李成的毁灭者连il|ソンリーの駆逐艦フレイル|이성 파괴자 Flail|Sung Lees Zerstörer-Dreschflegel
weapon_melee_unique48|Revenant's Lasher|Revenant's Lasher|Revenant's Lasher|Плеть Ревенанта|Revenant's Lasher|Revenant's Lasher|Revenant's Lasher|Revenant's Lasher
weapon_melee_unique49|Bonetti's Rapier|Bonetti's Rapier|O Rapier de Bonetti|Bonetti's Rapier|博内蒂的长剑|ボネッティのレイピア|Bonetti's Rapier|Bonettis Rapier
weapon_melee_unique50|Eternal Glaive|Eternal Glaive|Eternal Glaive|Eternal Glaive|永恒之刃|エターナル・グレイブ|Eternal Glaive|Ewige Klinge
weapon_melee_unique51|Gut's BFS|Gut's BFS|BFS do intestino|Gut's BFS|古特的BFS|ガットのBFS|Gut's BFS|Gut's BFS
weapon_melee_unique52|St. Rexis Sundering Axe|St. Rexis Sundering Axe|St. Rexis Sundering Axe|St. Rexis Sundering Axe|St.Rexis Sundering Axe|St.レクシス・サンダリング・アックス|St. Rexis Sundering Axe|St. Rexis Brechbeil
weapon_melee_unique53|Sand Dagger|Hiekkatikari|Punhal de Areia|Sand Dagger|沙匕首|サンドダガー|Sand Dagger|Sanddolch
weapon_melee_unique54|Thunder Dagger|Thunder Dagger|Punhal de trovão|Thunder Dagger|雷霆匕首|サンダーダガー|Thunder Dagger|Donnerdolch
weapon_melee_unique55|Riftmaster's Dirge|Riftmaster's Dirge|Riftmaster's Dirge|Riftmaster's Dirge|裂缝大师的哀歌|Riftmaster's Dirge|Riftmaster's Dirge|Spaltmeisters Dirge
weapon_melee_unique56|Mika's Storming Zweihänder|Mika's Storming Zweihänder|Mika's Storming Zweihänder|Mika's Storming Zweihänder|Mika's Storming Zweihänder|Mika's Storming Zweihänder|Mika's Storming Zweihänder|Mika's Storming Zweihänder
weapon_melee_unique57|Sanguine Blade|||||||
[weapon_spell]||||||||
weapon_spell0|Gnarled Staff|Tyvitautinen henkilökunta|Pessoal da Gnarled|Gnarled Staff|虬枝杖|グナールスタッフ|Gnarled Staff|Knorriger Stab
weapon_spell1|Long Staff|Pitkä henkilökunta|Pessoal Longo|Long Staff|长工|ロングスタッフ|Long Staff|Langer Stab
weapon_spell2|Quarterstaff|Neljännesvarsi|Quarterstaff|Quarterstaff|四分法杖|クォータースタッフ|Quarterstaff|Viertelstab
weapon_spell3|Elder Staff|Vanhemmat työntekijät|Funcionários mais velhos|Elder Staff|长老工作人员|エルダースタッフ|Elder Staff|Älteres Personal
weapon_spell4|Rune Cane|Rune Cane|Rune Cane|Rune Cane|符文手杖|ルーンケーン|Rune Cane|Runenstock
weapon_spell5|Cedar Cane|Cedar Cane|Cedro de Cana|Cedar Cane|雪松手杖|シダーケイン|Cedar Cane|Zedernholz-Rohr
weapon_spell6|War Cane|Sotakepin|Cana de guerra|War Cane|战争手杖|戦争の杖|War Cane|Kriegskanone
weapon_spell7|Battle Cane|Taistelukepin|Cana de batalha|Battle Cane|战斗手杖|バトルケイン|Battle Cane|Kampfstock
weapon_spell8|Magic Fork|Taika-atrain|Forcado Mágico|Магический трезубец|神奇的叉|マジックフォーク|마법의 포크|Magische Gabel
weapon_spell9|Spell Trident|Loitsu Kolmikärki|Soletra Tridente|Spell Trident|咒语三叉戟|スペルトライデント|Spell Trident|Zauberspruch Dreizack
weapon_spell10|Arcane Fork|Arcane haarukka|Garfo Arcano|Arcane Fork|奥秘的叉子|アーケイン・フォーク|Arcane Fork|Arkangabel
weapon_spell11|Gnarled Trident|Tyvitautinen kolmikärki|Gnarled Trident|Gnarled Trident|锯齿状三叉戟|グナーレッド・トライデント|Gnarled Trident|Knorriger Dreizack
weapon_spell12|Spellblade|Loitsuveitsi|Lâmina de Feitiço|Магический клинок|咒语片|スペルブレード|스펠블레이드|Fluchklinge
weapon_spell13|Magic Sword|Taikamiekka|Espada Mágica|Magic Sword|魔剑|マジックソード|Magic Sword|Zauberschwert
weapon_spell14|Arcane Gladius|Arcane Gladius|Arcano Gladius|Arcane Gladius|弧光剑|アルケイン・グラディウス|Arcane Gladius|Arkaner Gladius
weapon_spell15|Rune Blade|Rune Blade|Lâmina de Runa|Rune Blade|符文之刃|ルーンブレード|Rune Blade|Runenklinge
weapon_spell16|Magic Wand|Taikasauva|Varinha Mágica|Магический жезл|魔杖|マジックワンド|마법의 지팡이|Magischer Zauberstab
weapon_spell17|Grim Wand|Synkkä sauva|Varinha de Condão|Grim Wand|狰狞的魔杖|グリムワンド|Grim Wand|Grimmiger Zauberstab
weapon_spell18|Yew Wand|Pihlajasauva|Varinha de Condão|Yew Wand|悠扬的魔杖|Yew Wand|Yew Wand|Eibenholz-Stab
weapon_spell19|Bone Wand|Luu sauva|Varinha de osso|Bone Wand|骨杖|ボーンワンド|Bone Wand|Knochenzauberstab
weapon_spell20|Book of Spells|Loitsukirja|Livro dos Feitiços|Книга заклинаний|魔法书|呪文の書|주문서|Buch der Flüche
weapon_spell21|Magic Codex|Magic Codex|Códice Mágico|Magic Codex|魔法典籍|マジックコーデックス|Magic Codex|Magischer Kodex
weapon_spell22|Spell Codex|Loitsukirja|Códice Ortográfico|Spell Codex|法术典籍|スペルコーデックス|Spell Codex|Zauberspruch-Codex
weapon_spell23|Old Book|Vanha kirja|Livro antigo|Old Book|旧书|古い本|Old Book|Altes Buch
[weapon_spell_unique]||||||||
weapon_spell_unique0|Spellshard|Loitsusirpale|Fragmento de Feitiço|Зачарованный Осколок|符咒碎片|スペルシャード|마법서|Zauberscherbe
weapon_spell_unique1|The Iris|Iiris|A Íris|Ирис|彩虹女神|虹彩|아이리스|Die Iris
weapon_spell_unique2|Staff of Nether Flame|Manalanliekin Sauva|Bastão da Chama Inferior|Посох Адского Пламени|阴间火焰杖|ネザーフレームの杖|황천의 지팡이|Stab der Netherflamme
weapon_spell_unique3|Archangel Staff|Arkkienkelisauva|Bastão do Arcanjo|Посох Архангела|大天使杖|大天使の杖|아치 천사의 스태프|Stab des Erzengels
weapon_spell_unique4|Ceremonial Dagger|Seremoniallinen Tikari|Adaga Cerimonial|Ритуальный Кинжал|仪式剑|儀式のダガー|의식 단검|Zeremoniendolch
weapon_spell_unique5|The Oculus|Oculus|O Oculus|Окулус|奥库鲁斯|眼球|오큘러스|Der Okulus
weapon_spell_unique6|God’s Benevolence|God’s Benevolence|God’s Benevolence|God’s Benevolence|God’s Benevolence|God’s Benevolence|God’s Benevolence|God’s Benevolence
weapon_spell_unique7|Satan's Unholy Bible|Saatanan Epäpyhä Raamattu|Bíblia Profana de Satã|Чёрная Библия Сатаны|撒旦邪恶的圣经|サタンの悪書|사탄의 불신성한 성경|Satans unheilige Bibel
weapon_spell_unique8|Book of Revelations|Ilmestyskirja|Livro das Revelações|Книга Откровения|启示录|黙示録|계시록|Buch der Enthüllungen
weapon_spell_unique9|Damien's Head|Damienin pää|Cabeça de Damien|Голова Дэмиена|达米恩的头颅|デイミアンの頭|데미안의 머리|Damiens Kopf
weapon_spell_unique10|Clafaxier|Clafaxier|Clafaxier|Клафаксир|克拉法西耶|クラファクシア|클라팩시어|Clafaxier
weapon_spell_unique11|Raise of the Dead|Kuolleiden herättäjä|Levante dos Mortos|Восстание Мертвецов|死神复活|死者の復活|죽은자의 소생|Auferstehung der Toten
weapon_spell_unique12|Dragon's Breath|Lohikäärmeen henkäys|Bafo do Dragão|Дыхание Дракона|龙的呼吸|竜の吐息|용의 숨결|Drachenatem
weapon_spell_unique13|Apocalypto|Maailmanlopettaja|Apocalypto|Апокалипсис|天启|アポカリプト|아포칼립토|Apocalypto
weapon_spell_unique14|Steve's Wand of Fortune|Teemun onnen taikasauva|Varinha da Sorte de Steve|Жезл Удачи Стива|史蒂夫的财富魔杖|スティーブの運の杖|스티브의 행운의 완드|Steves Glücksstab
weapon_spell_unique15|St. HouDeanii's Tiny Fire Rod|Pyhän HouDeaniin pieni tulitikku|Varinha de Fogo de Santa HouDeanii|Маленький Огненный Жезл св. HouDeanii|圣窦迪恩利的小火棒|聖フーディーニの小さな火の杖|성 후디니의 작은 파이어 로드|St. HouDeaniis winziger Feuerstab
weapon_spell_unique16|Wormclaw|Madonkynsi|Garra de Minhoca|Жало|蠕虫爪|ワームクロー|웜클로|Wurmklaue
weapon_spell_unique17|Beacon of Shadows|Varjojen Johdatin|Faro de Sombras|Проводник в Мир Теней|阴影的灯塔|影のビーコン|그림자의 비컨|Leuchtfeuer Des Schattens
weapon_spell_unique18|Crystal Infused Wand|Kristalliin infusoitu sauva|Varinha Infundida de Cristal|Кристаллический Жезл|水晶魔杖|クリスタル注入ワンド|수정이 주입 된 마법봉|Kristall infundierter Zauberstab
weapon_spell_unique19|Zealot's Book of Prophecy|Kiihkoilijan Ennustusten Kirja|Livro de Profecias de Zelote|Книга Пророчеств Фанатика|狂热者的预言书|ジーロットの予言の本|질롯의 프로 페시 책|Zealots Buch der Propechie
weapon_spell_unique20|Uabel's Wand|Uabelin sauva|Varinha de Condão Uabel|Uabel's Wand|乌伯尔的魔杖|ウアベルの杖|Uabel's Wand|Uabels Zauberstab
weapon_spell_unique21|Battle Mage's Wand|Taistelumaagin sauva|Varinha de condão de feiticeiro|Battle Mage's Wand|战斗法师的魔杖|バトルメイジのワンド|Battle Mage's Wand|Zauberstab des Kampfmagiers
weapon_spell_unique22|Spell Eater|Loitsunsyöjä|Comedor de Feitiços|Spell Eater|噬魂者|スペルイーター|Spell Eater|Zauberfresser
weapon_spell_unique23|Blood of Abaddon|Blood of Abaddon|Blood of Abaddon|Blood of Abaddon|Blood of Abaddon|Blood of Abaddon|Blood of Abaddon|Blood of Abaddon
weapon_spell_unique24|Ancient Sun Beacon|||||||
weapon_spell_unique25|The Eye of Tarethiel|||||||
weapon_spell_unique26|Sands of Time|||||||
[weapon_bow]||||||||
weapon_bow0|Crossbow|Varsijousi|Besta|Арбалет|弩|クロスボウ|석궁|Armbrust
weapon_bow1|Siege Bow|Piiritysjousi|Arco de Sítio|Siege Bow|攻城弓|Siege Bow|Siege Bow|Belagerungsbogen
weapon_bow2|War Bow|Sotajousi|Arco de Guerra|War Bow|战弓|ウォー・ボウ|War Bow|Kriegsbogen
weapon_bow3|Long Crossbow|Pitkä varsijousi|Besta Longa|Long Crossbow|长柄十字弓|ロングクロスボウ|Long Crossbow|Lange Armbrust
weapon_bow4|Short War Bow|Lyhyt Sotajousi|Arco de Guerra Curto|Короткий боевой лук|战争短弓|ショートウォーボウ|짧은 전쟁 활|Kurzer Kriegsbogen
weapon_bow5|Composite Bow|Komposiitti keula|Arco Composto|Composite Bow|复合弓|コンポジットボウ|Composite Bow|Komposit-Bogen
weapon_bow6|Short Battle Bow|Lyhyt taistelujousi|Arco de batalha curto|Short Battle Bow|短战弓|ショートバトルボウ|Short Battle Bow|Kurzer Kampfbogen
weapon_bow7|Short Bow|Lyhyt keula|Arco Curto|Short Bow|短弓|ショートボウ|Short Bow|Kurzer Bogen
weapon_bow8|Long Bow|Pitkäjousi|Arco Longo|Длинный лук|长弓|ロングボウ|긴 활|Langer Bogen
weapon_bow9|Long Battle Bow|Pitkä taistelujousi|Arco de batalha longo|Long Battle Bow|长战弓|ロングバトルボウ|Long Battle Bow|Langer Kampfbogen
weapon_bow10|Long War Bow|Pitkä sota jousi|Arco Longo de Guerra|Long War Bow|长战弓|ロング・ウォー・ボウ|Long War Bow|Langer Kriegsbogen
weapon_bow11|Long Hydra Bow|Pitkä Hydra-jousi|Arco Longo Hydra|Long Hydra Bow|长形水蛇弓|ロングハイドラボウ|Long Hydra Bow|Langer Hydra-Bogen
weapon_bow12|Bone Bow|Luujousi|Arco de Ossos|Костяной лук|骨弓|ボーンボウ|뼈 활|Knochenbogen
weapon_bow13|Hunter's Bow|Metsästäjän jousi|Arco de Caçador|Hunter's Bow|猎人之弓|ハンターズボウ|Hunter's Bow|Bogen des Jägers
weapon_bow14|Rune Bow|Rune Bow|Arco de Runa|Rune Bow|符文弓|ルーン・ボウ|Rune Bow|Runenbogen
weapon_bow15|Gothic Bow|Goottilainen keula|Arco gótico|Gothic Bow|哥特式蝴蝶结|ゴシック・ボウ|Gothic Bow|Gotischer Bogen
[weapon_bow_unique]||||||||
weapon_bow_unique0|Buriza|Buriza|Buriza|Буридзаадо Кянон|大炮|ブリーザ|부리자|Buriza
weapon_bow_unique1|Windforce|Tuulivoima|Força do Vento|Воля Ветров|风之力|ウインドフォース|바람의 힘|Windmacht
weapon_bow_unique2|Poison Ivy|Myrkkymuratti|Hera Venenosa|Ядовитый Плющ|有毒常春藤|ポイズン・アイビー|독극물 아이비|Giftefeu
