[main_menu]|en|fi|pt|ru|zh|ja|ko|de
ns_controller_config1|You can configure controllers|Voit konfiguroida ohjaimet|Você pode configurar controladores|Вы можете настроить контроллеры|您可以配置控制器|コントローラを設定できます|컨트롤러를 구성 할 수 있습니다|Sie können die Controller konfigurieren
ns_controller_config2|or continue with current setup.|tai jatkaa nykyisellä asettelulla.|ou continue com a configuração atual.|или продолжить текущими настройками.|或继续进行当前设置。|または現在のセットアップを続行します。|또는 현재 설정을 계속하십시오.|oder fahren Sie mit der aktuellen Einrichtung fort.
configure|Configure|Konfiguroi|Configurar|Настроить|配置|構成、設定|구성|Konfigurieren
ns_store_connecting|Connecting to the Nintendo eShop.|Yhdistetään Nintendo eShop:iin.|Conectando-se à Nintendo eShop.|Подключение к Nintendo eShop.|连接到 Nintendo eShop。|ニンテンドーeショップ に接続しています。|Nintendo eShop 에 연결|Verbindung zum Nintendo eShop wird hergestellt.
ns_store_unavailable|The item you tried to access is not available.|Valitsemasi tuote ei ole saatavilla.|O item que você tentou acessar não está disponível.|Товар, который вы пытались найти, недоступен.|你要访问的物品已不存在。|アクセス しよう と した アイテム は 利用 できません。|이 아이템은 이용할 수 없습니다.|Der Gegenstand, auf den du zugreifen wolltest, ist nicht verfügbar.
ns_store_error|Error loading Nintendo eShop.|Virhe ladattaessa Nintendo eShop:iin.|Erro ao carregar o Nintendo eShop.|Ошибка загрузки Nintendo eShop.|加载 Nintendo eShop 时出错。|ニンテンドーeショップ の読み込み中にエラーが発生しました。|Nintendo eShop 불러 오기 오류.|Fehler beim Laden vom Nintendo eShop.
ns_store_account_error|The current user account cannot access this feature.|Nykyinen käyttäjä ei voi käyttää tätä ominaisuutta.|A atual conta de usuário não pode acessar esse recurso.|У этого аккаунта пользователя нет доступа к этой функции.|当前用户账号无法访问此功能。|現在 の ユーザーアカウントで は この 機能 にアクセスできません。|현재 사용자 계정은 이 기능을 이용할 수 없습니다.|Das aktuelle Benutzerkonto kann auf diese Funktion nicht zugreifen.
ns_store_timeout|Connecting to the Nintendo eShop took too long.|Nintendo eShop:iin yhdistäminen kesti liian kauan.|A conexão com o Nintendo eShop demorou muito.|Подключение к Nintendo eShop заняло слишком много времени.|连接到 Nintendo eShop 花费的时间太长。|ニンテンドーeショップ への接続に時間がかかりすぎました。|Nintendo eShop 에 연결하는 데 시간이 오래 걸렸습니다.|Die Verbindung zum Nintendo eShop hat zu lange gedauert.
ns_store_warning|Connecting to the Nintendo eShop will disconnect you from the current game.|Yhdistäminen Nintendo eShop:iin katkaisee yhteytesi nykyisestä pelistä.|Conectar-se ao Nintendo eShop o desconectará do jogo atual.|Подключение к Nintendo eShop отключит вас от текущей игры.|连接到Nintendo eShop会使您与当前游戏断开连接。|Nintendo eShop に接続すると、現在のゲームから切断されます。|Nintendo eShop에 연결하면 현재 게임에서 연결이 끊어집니다.|Wenn Sie eine Verbindung zum Nintendo eShop herstellen, werden Sie vom aktuellen Spiel getrennt.
ns_eshop|Nintendo eShop|Nintendo eShop|Nintendo eShop|Nintendo eShop|Nintendo eShop|Nintendo eShop|Nintendo eShop|Nintendo eShop
try_again_later|Try again later.|Yritä myöhemmin uudelleen.|Tente novamente mais tarde.|Повторите попытку позже.|稍后再试。|後で もう一度 試して みて ください。|나중에 다시 시도하세요.|Versuche es später erneut.
try_again_account|Try again with another account.|Yritä uudelleen toisella käyttäjällä.|Tente novamente com outra conta.|Попробуйте ещё раз, но с другого аккаунта|请使用其他账号再试一次。|別 の アカウント で もう一度 試して みて ください。|다른 계정으로 다시 시도하세요.|Versuche es mit einem anderen Konto erneut.
connection_lost|Connection to the network was lost.|Verkkoyhteys katkesi.|A conexão com a rede foi perdida.|Подключение к сети потеряно.|网络连接已中断。|ネットワーク 接続 が 遮断 さ れました。|네트워크 연결이 끊어졌습니다.|Die Verbindung zum Netzwerk wurde unterbrochen.
controller|Controller|Ohjain|Controlador|Контроллер|游戏控制器|コントローラー|컨트롤러|Controller
connected|connected|yhdistetty|conectado|подключен|已连接|接続済み|연결됨|verbunden
prompt_exit|Are you sure you want to exit?|Oletko varma, että haluat poistua?|Tem certeza de que deseja sair?|Вы уверены, что хотите выйти?|你确定要退出吗？|本当に終了してもいいですか？|정말로 나가시겠습니까?|Bist du sicher, dass du gehen möchtest?
controller_connected|Connected|Yhdistetty|Conectado|Подключен|已连接|接続済み|연결됨|Verbunden
controller_disconnected|Disconnected|Irroitettu|Desconectada|Отключен|断开|切断|분리|Getrennt
controller_press|Press|Paina|Pressione|Нажмите|按|押し|프레스|Drücke
controller_quit|to quit.|lopettaaksesi.|para sair.|чтобы выйти|退出。|終了します。|종료합니다.|zu beenden.
controllers|Controllers|Ohjaimet|Controladores|Контроллеры|控制器|コントローラ|컨트롤러|Controller
steam_cloud|STEAM Cloud|STEAM Cloud|STEAM Cloud|STEAM Cloud|STEAM云|STEAM Cloud|STEAM Cloud|STEAM Cloud
steam_cloud_data|Current Cloud data|Nykyiset pilvitiedot|Dados atuais da nuvem|Текущие данные Облака|当前云数据|現在のクラウドデータ|현재 클라우드 데이터|Aktuelle Cloud-Daten
save|Save|Tallenna|Salve|Сохранить|保存|保存する|저장|Speichern
load|Load|Lataa|Carga|Загрузить|加载|負荷|하중|Laden
account_id|Account ID|Tilin Tunnus|ID da conta|ID Аккаунта|帐户ID|アカウントID|계정 ID|Konto ID
unranked|Unranked|Sijoittamaton|Não classificado|Без Ранга|未排名|ランクなし|랭킹|Ranglos
caps_lock_enabled|Caps Lock Enabled|Caps Lock käytössä|Caps Lock ativado|Caps Lock включен|大写锁定已启用|CapsLockが有効|Caps Lock 사용|Feststelltaste aktiviert
profile_private|This profile is hidden|Tämä profiili on piilotettu|Este perfil está escondido|Этот профиль скрыт|此个人资料已隐藏|このプロファイルは非表示です|이 프로필은 숨겨져 있습니다.|Dieses Profil ist ausgeblendet
email_not_verified|Email is not verified!|Sähköposti ei ole vahvistettu!|Email não está verificado!|Электронная почта не подтверждена!|邮件未验证！|メールは検証されていない！|이메일이 확인되지 않았습니다!|E-Mail ist nicht verifiziert!
sign_in_failed|Sign in failed. Try again.|Kirjautuminen epäonnistui. Yritä uudelleen.|Sign in failed. Try again.|Sign in failed. Try again.|登录失败！请重新登录|Sign in failed. Try again.|Sign in failed. Try again.|Anmeldung fehlgeschlagen. Versuche es erneut.
invalid_name|I already CHOSE that name.|Minä VALITSIN jo tuon nimen.|Eu já ESCOLHO esse nome.|I already CHOSE that name.|我已经选择了这个名字。|私はすでにその名前を選んでいます。|I already CHOSE that name.|Dieser Name ist MEINER.
show_exp_gain|Show Experience Gain|Näytä kokemuspistesaannit|Show Experience Gain|Show Experience Gain|显示经验获取|Show Experience Gain|Show Experience Gain|Erfahrungszuwachs Anzeigen
loading_critical_error|Character slot loading failed.|Hahmon lataaminen epäonnistui.|Character slot loading failed.|Character slot loading failed.|角色槽加载失败|Character slot loading failed.|Character slot loading failed.|Character slot loading failed.
retired|Retired|Eläkkeellä|Retired|Retired|已退休的|Retired|Retired|Retired
character_skins|Character Skins|Hahmon Ulkoasut|Aparência do Personagem|Внешний вид персонажа|人物外观|キャラクターの外観|캐릭터 외모|Aussehen des Charakters
||||||||
[options]||||||||
video|Video|Kuva|Vídeo|Видео|视频|ビデオ|비디오|Video
audio|Audio|Ääni|Áudio|Аудио|音频|オーディオ|오디오|Audio
controls|Controls|Näppäimet|Controles|Управление|控制|コントロール|조작|Steuerungen
redeem_code|Redeem code|Lunasta koodi|Gerar Codigo|Активировать код|兑换激活码|コードを引き換える|리딤코드|Code einlösen
back|Back|Palaa|Voltar|Назад|返回|戻る|뒤로|Zurück
fullscreen|Fullscreen|Kokoruutu|Tela cheia|Полноэкранный режим|全屏模式|全画面表示|전체 화면|Vollbild
window_size|Window Size|Ikkunan Koko||||||
aspect_ratio|Aspect Ratio|Kuvasuhde||||||
size|Size|Koko|Tamanho|Размер|分辨率|サイズ|크기|Größe
graphics|Graphics|Grafiikat|Graficos|Настройки графики|图像质量|グラフィックス|그래픽|Grafikstufe
high|High|Korkea|Alto|Высокие|高|高い|최상|Hoch
medium|Medium|Keskitaso|Medio|Средние|中|中|보통|Mittel
low|Low|Matala|Baixo|Низкие|低|低い|최하|Niedrig
on|On|Kyllä|Em|Вкл.|开|オン|켜기|An
off|Off|Ei|Fora|Выкл.|关|オフ|끄기|Aus
shaking|Screen Shake|Ruuduntärinä|Tremor|Дрожание экрана|震动|振動|화면 흔들림|Bildwackeleffekte
show_damage|Show Damage|Näytä vahinko|Mostrar dano|Показывать урон|显示伤害|ダメージを表示する|피해량 표시|Schaden anzeigen
music|Music|Musiikki|Musica|Музыка|音乐|音楽|음악|Musik
master_volume|Master volume|Äänenvoimakkuus|Volume Maximo|Общая громкость|主音量|マスターボリューム|마스터 볼륨|Master-Lautstärke
music_volume|Music volume|Musiikin voimakkuus|Volume da música|Громкость музыки|音乐音量|音楽ボリューム|음악 볼륨|Musiklautstärke
ambient_volume|Ambient volume|Ympäristöäänien voimakkuus|Volume do ambiente|Громкость звуков окружения|环境容量|アンビエントボリューム|배경 볼륨|Umgebungslautstärke
sound_volume|Sound volume|Ääniefektien voimakkuus|Volume do som|Громкость звука|音量|サウンドボリューム|사운드 볼륨|Sound-Lautstärke
satanic_volume|Satanic volume|Saatanallisen voimakkuus|Volume satânico|Громкость лутфильтра|撒旦的音量|サタニックボリューム|악마 같은 볼륨|Satanische Lautstärke
voice_acting_volume|Voice acting volume|Ääninäyttelyn voimakkuus|Voice acting volume|Громкость голосов персонажей|Voice acting volume|Voice acting volume|Voice acting volume|Sprechlautstärke
vibration|Vibration|Tärinä|Vibração|Вибрация|音频振动|バイブレーション|진동|Vibration
voice_acting|Voice acting|Ääninäyttely|Ação de voz|Голоса персонажей (Вкл./Выкл.)|配音|ボイスアクチング|더빙|Sprachsteuerung
defaults|Defaults|Oletukset|Padrão|По умолчанию|默认|デフォルト|기본값|Standardeinstellungen
default|Default|Oletus|Padrão|По умолчанию|默认|デフォルト|기본|Standard
show_player_name|Show Player Name|Näytä pelaajan nimi|Mostrar nome|Показывать ники игроков|显示名字|名前を表示する|이름 표시|Spielernamen anzeigen
show_player_health|Show Player Health|Näytä pelaajan elämä|Mostrar Vida|Полоски Здоровья над союзниками|显示血量|ヘルスを表示する|체력 표시|Lebenspunkte anzeigen
show_enemy_health|Always Show Enemy Health|Näytä vihollisten elämä aina|Mostrar barras de saúde|Полоски Здоровья над врагами|显示血量条|ヘルスバーを表示する|적 체력 막대 표시|Feindliche Lebenspunkte anzeigen
show_player_projectiles|Show Teammate Projectiles|Näytä tiimiläisten hyökkäykset|Mostrar Tiros da Mesma Equipe|Отображать снаряды союзников|显示队友炮弹|チームメイトの弾を表示|팀원 발사체 표시|Freundliche Projektile
show_loot_names|Show Loot Names|Näytä esineiden nimet|Mostrar Nome de Itens|Показывать названия предметов|显示战利品的名字|戦利品名の表示|전리품 이름 표시|Beutenamen anzeigen
show_gamepad_crosshair|Show Gamepad Crosshair|Näytä peliohjaimen tähtäin|Mostrar Mira do Controle|Показывать перекрестие геймпада|显示手柄十字|ゲームパッド用の照準を表示|게임패드 십자키 표시|Controller-Fadenkreuz anzeigen
show_crosshair|Show Crosshair|Näytä tähtäin|Mostrar mira|Показывать перекрестие|显示十字准线|十字線を表示|십자선 표시|Fadenkreuz anzeigen
color_ability_damage|Ability Damage Color|Taitovahingon väri|Cor de Dano de Habilidade|Цвет урона Способностей|能力损害颜色|アビリティダメージの色|능력 손상 색상|Fähigkeits-Trefferfarbe
color_basic_damage|Basic Damage Color|Perusvahingon väri|Cor de Dano Básico|Цвет Базового урона|基本损害颜色|基本ダメージの色|기본 손상 색상|Grund-Trefferfarbe
color_crit_damage|Critical Damage Color|Kriittisen vahingon väri|Cor de Dano Crítico|Цвет Критического урона|临界破损的颜色|クリティカルダメージの色|치명적 손상 색상|Kritische-Trefferfarbe
color_heal|Heal Color|Parannuksen väri|Cor de Cura|Цвет Лечения|治愈的颜色|回復の色|치유 색상|Farbe Heilung
color_outline|Outline Color|Ääriviivojen väri|Cor do Contorno|Цвет Контура|轮廓的颜色|アウトラインの色|윤곽선 색상|Umrissfarbe
color_minimap|Minimap Color|Kartan väri|Cor do Minimapa|Цвет Миникарты|小地图的颜色|ミニマップの色|미니맵 색상|Minikarten-Farbe
size_ability_damage|Ability Damage Size|Taitovahingon koko|Tamanho de dano da habilidade|Размер текста урона Способностей|能力伤害大小|能力ダメージサイズ|능력 피해 크기|Größe Fähigkeitensschaden
size_basic_damage|Basic Damage Size|Perusvahingon koko|Tamanho básico de dano|Размер текста урона Базовой Атаки|基本伤害大小|基本ダメージサイズ|기본 피해 크기|Größe Grundschaden
size_crit_damage|Critical Damage Size|Kriittisen vahingon koko|Tamanho de Dano Crítico|Размер текста Критического Урона|暴击伤害|クリティカルダメージサイズ|치명타 피해 크기|Größe Kritischer Schaden
size_heal|Heal Size|Parannuksen koko|Tamanho da Cura|Размер текста Исцеления|愈合大小|ヒールサイズ|치유 크기|Größe Heilung
shaders_enabled|Shaders Enabled|Käytä varjostimia|Shaders Ativado|Шейдеры включены|着色器启用|シェーダー有効|셰이더 활성화|Schattierer
ingame|Ingame|Peliasetukset|No jogo|Игровые|游戏中|ゲーム中|인 게임 설정|Spiel
auto_pickup|Auto Pickup|Nosta automaattisesti|Pegar Automaticamente|Автоматический подбор|自动拾取|自動で拾う|자동 픽업|Auto-Pickup
auto_attack|Auto Attack|Hyökkää automaattisesti|Atacar Automaticamente|Автоатака|自动攻击|自動攻撃|자동 공격|Auto-Angriff
hold_to_cast|Hold to cast|Taio painamalla pohjassa|Segurar para atirar|Автоприменение Способности при удержании|坚持投|つかんで投げる|오래 눌러 캐스트|Gedrückt halten zum Zaubern
file|file|tiedosto|arquivo|файл|文件|ファイル|파일|datei
save_recovered|Save successfully recovered!|Tallennus palautettu onnistuneesti!|Salvamento recuperado com sucesso!|Сохранение успешно восстановлено!|成功恢复保存！|セーブ の 復元 に 成功！|저장한 내용이 성공적으로 복구되었습니다!|Spielstand erfolgreich wiederhergestellt!
crystals_added|crystals added!|kristallia lisätty!|cristais adicionados!|кристаллы добавлены!|加入水晶！|クリスタル が 追加 さ れました！|크리스탈 추가!|Kristalle hinzugefügt!
delete_highscore|This will also delete wormhole highscores associated with this character!|Tämä poistaa myös hahmoon liittyvät madonreikä-sijoitukset!|Isso também apagará recordes de wormholes associados a esse personagem!|Это также удалит рекорды червоточины, связанные с данным персонажем!|这将删除此角色 关联的副本高分！|この 動作 を 行う と、 この キャラクター の ワームホール の ハイスコア も 消去 さ れます！|이 캐릭터로 달성한 웜홀 최고 기록도 지워지게됩니다!|Dadurch werden auch die Wurmloch-Highscores die mit diesem Charakter verbunden sind gelöscht!
choose|Choose|Valitse|Escolher|Выбрать|选择|選択|선택하기|Wähle
move_up|Move up|Liiku ylös|Mover para cima|Движение вверх|向上移动|上に移動|위로 이동|Nach oben bewegen
move_down|Move down|Liiku alas|Mover para baixo|Движение вниз|向下移动|下に移動|아래로 이동|Nach unten bewegen
move_left|Move left|Liiku vasen|Mover para esquerda|Движение влево|向左移动|左に移動|왼쪽으로 이동|Nach links bewegen
move_right|Move right|Liiku oikea|Mover para direita|Движение вправо|向右移动|右に移動|오른쪽으로 이동|Nach rechts bewegen
attack_up|Attack up|Hyökkää ylös|Atacar para cima|Атаковать вверх|向上攻击|上に攻撃|위쪽 공격|Angriff nach oben
attack_down|Attack down|Hyökkää alas|Atacar para baixo|Атаковать вниз|向下攻击|下に攻撃|아래쪽 공격|Angriff nach unten
attack_left|Attack left|Hyökkää vasen|Atacar para esquerda|Атаковать влево|向左攻击|左に攻撃|왼쪽 공격|Angriff links
attack_right|Attack right|Hyökkää oikea|Atacar para direita|Атаковать вправо|向右攻击|右に攻撃|오른쪽 공격|Angriff rechts
; Town Portal ; in ingame||||||||
use_potion|Use potion|Käytä rohto|Usar poção|Использовать зелье|使用药品|薬を使用する|포션 사용|Trank verwenden
use_item|Use item|Käytä esine|Usar item|Использовать предмет|使用物品|アイテムを使用する|아이템 사용|Relikt verwenden
talents|Talents|Taidot|Talentos|Таланты|天赋|タレント|재능|Talente
skill|Skill|Taito|Habilidades|Навык|技能|スキル|스킬|Fertigkeit
pickup_use|Pickup / Use|Nosta / Käytä|Pegar / Usar|Поднять или использовать|拾取/使用|拾う/使用|줍기 / 사용|Aufheben / Verwenden
minimap|Minimap|Minikartta|Minimapa|Миникарта|小地图|ミニマップ|미니맵|Minikarte
show_map|Show Map|Näytä kartta|Mostrar mapa|Показать карту|显示地图|地図を表示|지도보기|Karte anzeigen
playerlist|Playerlist|Pelaajalista|Lista de Jogadores|Список игроков|玩家名单|プレイヤーリスト|플레이어 명단|Spielerliste
ingame_chat|Ingame chat|Pelinsisäinen chat|Chat no jogo|Игровой чат|游戏中聊天|インゲームチャット|게임 내 채팅|Spielchat
reset_controls|Reset controls to default values?|Palauta näppäimet oletusarvoihin?|Resetar controles para os valores padrão?|Сбросить настройки управления?|是否将控制重 置为默认值?|コントロール を 初期設定値 に リセットしますか？|컨트롤을 기본값으로 리셋하시겠습니까?|Steuerung auf Standardwerte zurücksetzen?
mouse_move|Mouse Move|Liiku Hiirellä|Movimento do Mouse|Перемещение мышью|鼠标移动|マウスの移動|마우스 이동|Maus Bewegung
mouse_attack|Mouse Attack|Hyökkää Hiirellä|Ataque do Mouse|Базовая атака мышью|鼠标攻击|マウスの攻撃|마우스 공격|Maus Angriff
mouse_stand_still|Stand Still|||||||
waiting_for_input|Waiting for input...|Odotetaan syötettä...|Esperando entrada...|Ожидание ввода...|正在等待输入...|入力待ち...|인풋 기다리는중...|Warte auf Eingabe...
right_mouse|Right mouse|Oikea hiirenpainike|Botão direito do mouse|Правая кнопка мыши|右鼠标|右のマウス|오른쪽 마우스|Rechte Maus
right_analog|Right analog|Oikea tatti|Analógico direito|Правый аналоговый стик|右侧模拟|右のアナログ|오른쪽 아날로그|Rechter Analog
left_analog|Left analog|Vasen tatti|Analógico esquerdo|Левый аналоговый стик|左侧模拟|左のアナログ|왼쪽 아날로그|Linker Analog
jump|Jump|Hyppy|Pular|Прыжок|跳跃|ジャンプ|점프|Springen
open_waypoint|Open Waypoint|Avaa kartta|Abrir Ponto de Passagem|Открыть Врата|打开路标|ウェイ ポイント を 開く|웨이포인트 열기|Wegpunkt Öffnen
activate_waypoint|Activate Waypoint|Aktivoi reittipiste|Ativar Waypoint|Активировать Врата|激活路径|ウェイ ポイント を 有効化|웨이포인트 활성화|Wegpunkt Aktivieren
refresh_rate|Framerate|Ruudunpäivitys|Framerate|Framerate|Framerate|Framerate|Framerate|Bildrate
vote_reset|Vote Reset|Äänestä uudelleenaloitusta|Redefinição de Voto|Обновить Локации|投票重置|投票リセット|투표 재설정|Resetabstimmung
drowning|Drowning|Hukkuminen|Afogando|Погружение|溺水|溺死|익사|Ertrinken
falling|Falling|Tippuminen|Caindo|Падение|下降|落下|추락|Fallen
minimap_scale|Minimap Scale|Kartan koko|Escala do Minimapa|Масштаб миникарты|小地图规模|ミニマップの縮尺|미니맵 축척|Minikarte skalieren
minimap_alpha|Minimap Alpha|Kartan läpinäkyvyys|Alfa do Minimapa|Прозрачность Миникарты|小地图阿尔法|ミニマップの透過度|미니맵 알파|Minikarte alpha
talent_scale|Talent Scale|Taitojen koko|Escala de Talentos|Панель Талантов|人才规模|才能スケール|재능 규모|Talentskala
weather_intensity|Weather Intensity|Sääefektien voimakkuus|Intensidade do Clima|Интенсивность погоды|天气强度|気象の強度|날씨 강도|Wetterintensität
darkness_intensity|Darkness Intensity|Pimeyden voimakkuus|Intensidade da Escuridão|Интенсивность затемнения|黑暗强度|ダークネスの強度|어둠 강도|Dunkelheitsintensität
combat_text|Combat Text|Taistelutekstit|Texto de Combate|Текст боя|战斗文字|戦闘テキスト|전투 텍스트|Kampftext
combat_text_frequency|Combat Text Frequency|Taistelutekstien tiheys|Taxa de texto de combate|Частота сообщений журнала боя|战斗文字频率|戦闘テキストの頻度|전투 문자 빈도|Kampftexthäufigkeit
crosshair_distance|Crosshair Distance|Kursorin etäisyys|Distância da Mira|Размер перекрестия|十字丝的距离|照準の距離|십자키 거리|Fadenkreuzentfernung
color_blind_mode|Color Blind Mode|Värisokeustila|Modo Daltônico|Режим Цветовой слепоты|色盲模式|カラーブラインドモード|색맹 모드|Farbenblind Modus
enable|Enable|Aktivoi|Ativar|Включить|启用|有効|활성화|Anpassung
skillbar_position|Skillbar position|Taitopalkin sijainti|Posição da barra de habilidade|Позиция панели навыков|技能栏位置|スキルバーの位置|스킬바 위치|Position der Fertigkeitenleiste
button_plus|+ Button|+ Näppäin|Botão +|Кнопка +|+键|+ボタン|+ 버튼|Plus-Knopf
button_minus|- Button|- Näppäin|Botão -|Кнопка -|-键|-ボタン|- 버튼|Minus-Knopf
button_up|Up Button|Ylös näppäin|Seta para cima|Кнопка «Вверх»|向上按钮|上ボタン|위 버튼|Nach-oben-Taste
button_down|Down Button|Alas näppäin|Seta para baixo|Кнопка «Вниз»|向下按钮|下ダウン|아래 버튼|Nach-unten-Taste
button_left|Left Button|Vasen näppäin|Seta para a esquerda|Кнопка «Влево»|向左按钮|左ボタン|왼쪽 버튼|Nach-links-Taste
button_right|Right Button|Oikea näppäin|Seta para a direita|Кнопка «Вправо»|向右按钮|右ボタン|오른쪽 버튼|Nach-rechts-Taste
button_left_stick_press|Press the L Stick|Paina vasenta tattia|Aperte o botão L|Нажмите на левый стик|按下左摇杆|左スティックを押す|L 스틱을 누르십시오|Drücke den L-Stick
button_right_stick_press|Press the R Stick|Paina oikeaa tattia|Aperte o botão R|Нажмите на правый стик|按下右摇杆|右スティックを押す|R 스틱을 누르십시오|Drücke den R-Stick
button_stick|Stick|Tatti|Botão|Стик|摇杆|スティック|스틱|Stick
undefined|Undefined|Määrittämätön|Indefinido|Не определено|未定义|未定義|미정|Undefiniert
steam_inventory|Steam Inventory|Steam Tavaraluettelo|Steam Inventário|Steam Инвентарь|Steam 库存|Steam 在庫|Steam 목록|Steam Inventar
chat_settings|Chat Settings|Chat asetukset|Configurações de bate-papo|Настройки чата|聊天设置|チャット設定|채팅 설정|Chat Einstellungen
chat_background_alpha|Background alpha|Taustan läpinäkyvyys|Alfa de fundo|Прозрачность фона чата|背景Alpha|背景アルファ|배경 알파|Hintergrund Alpha
chat_fade_seconds|Seconds to fade|Sekuntia häivytykseen|Segundos para desaparecer|Длительность отображ. сообщений|秒消失|フェードする秒数|퇴색하는 시간|Sekunden zum Verblassen
chat_notifications|Chat notifications|Chat-ilmoitukset|Notificações do chat|Уведомления чата|聊天通知|チャット通知|채팅 알림|Chat-Benachrichtigungen
chat_enable|Enable General Chat|Ota käyttöön Yleinen chat|Habilitar chat geral|Включить общий чат|启用一般聊天|一般チャットを有効にする|일반 채팅 활성화|Aktivieren Sie den allgemeinen Chat
chat_disabled|General chat has been disabled in options|Yleinen chat on poistettu käytöstä asetuksissa|O chat geral foi desativado nas opções|Общий чат отключен в настройках|选项中的常规聊天功能已被禁用|オプションで一般チャットが無効になっています|옵션에서 일반 채팅이 비활성화되었습니다.|Der allgemeine Chat wurde in den Optionen deaktiviert
mute|Mute|Hiljennä|Mutar|Заглушить|静音|ミュート|음소거|Stummschalten
relic_confirmation|Relic Confirmation|Aarteiden vahvistus|Confirmação de Relíquia|Подтверждение при подборе Реликвии|遗物确认|遺物の確認|유물 확인|Reliktbestätigung
show_dps_meter|Show DPS Meter|Näytä DPS-mittari|Mostrar medidor DPS|Показывать измеритель урона|显示DPS表|DPSメーターを表示|DPS 미터 표시|DPS-Meter anzeigen
dps_meter_compress|Compress values|Pakkaa arvot|Comprimir valores|Значения в сокращенном виде|压缩值|値を圧縮する|값 압축|Werte komprimieren
dps_meter_reset_combat|Reset outside combat|Nollaa taistelun ulkopuolella|Reiniciar fora de combate|Сбрасывать измеритель урона вне боя|重设外部战斗|戦闘外でリセット|전투 밖에서 초기화|Außerhalb des Kampfes zurücksetzen
show_boss_cooldowns|Show Boss Cooldowns|Näytä pomojen palautumsaika|Mostrar resfriamentos de chefes|Показывать перезарядку способностей Боссов|显示老板的冷却时间|ボスのクールダウンを表示|보스 쿨 다운 표시|Boss-Abklingzeiten anzeigen
universal|Universal|Yleinen|Universal|Универсальный|普遍的|ユニバーサル|만능인|Universell
enable_gamepad|Enable Gamepad|Käytä peliohjainta|Enable Gamepad|Enable Gamepad|Enable Gamepad|Enable Gamepad|Enable Gamepad|Controller Aktivieren
chat_fade_enable|Enable Chat Fade|Käytä chatin häivytystä|Enable Chat Fade|Enable Chat Fade|Enable Chat Fade|Enable Chat Fade|Enable Chat Fade|Chat-Verblassung Aktivieren
chat|Chat|Chat|Chat|Chat|Chat|Chat|Chat|Chat
fancy_lighting|Fancy Lighting|Hieno valaistus|Fancy Lighting|Fancy Lighting|Fancy Lighting|Fancy Lighting|Fancy Lighting|Ausgefallene Beleuchtung
