[talents]|en|fi|pt|ru|zh|ja|ko|de
viking_desc_1|The seemingly endless stamina of the Shield Bearer gives him a chance to be able to Shield Bash again without any recovery time.|Kilvenkäyttäjän näennäisesti loputon kestävyys antaa hänelle mahdollisuuden pystyä Kilpiläimäsyyn uudelleen ilman palautumisaikaa.|A resistência aparentemente interminável do Portador de Escudo dá a ele a chance de ser capaz de proteger o Bash de novo sem tempo de recuperação.|Порой кажущаяся бесконечной, выносливость Щитоносца дает ему шанс нанести Удар Щитом несколько раз, без перерыва.|盾牌守卫者看似无尽的 耐力使他有机会再次获 得盾牌重击而无需任何 恢复时间。|シールドベアラーの無限に見えるスタミナは、回復時間なしにシール ドバッシュを再び可能 にするチャンスを彼に 与えます。|실드 베어러의 끝없는 체력으로 회복 시간없이 배쉬를 다시 쉴 수 있습니다.|Die scheinbar endlose Ausdauer des Schildträgers gibt ihm die Möglichkeit, Bash ohne Erholungszeit wieder zu beschützen.
viking_desc_2|Slam a nearby enemy with your shield, damaging them and leaving them stunned.|Läimiäise lähintä vihollista kilvelläsi, tuottaen vahinkoa ja tainnuttaen ne.|Bata em um inimigo próximo com seu escudo, causando dano e deixando-o atordoado.|Щитоносец наносит врагу удар щитом, Оглушая его на некоторое время|用盾牌猛击附近的敌人，使其受伤并使其昏迷。|シールドで近くの敵を叩きつけ、ダメージを与えて気絶させます。|방패로 주변의 적을 때려서 피해를 입히고 기절시킵니다.|Schlage einen nahen Feind mit deinem Schild zu, beschädige ihn und lasse ihn fassungslos zurück.
viking_desc_3|Charge forwards till you hit an obstacle or an enemy damaging and leaving them stunned.|Ryntää eteenpäin, kunnes osut esteeseen tai viholliseen, tuottaen vahinkoa ja tainnuttaen ne.|Carregue para frente até atingir um obstáculo ou um inimigo, causando dano e deixando-o atordoado.|Щитоносец устремляется вперед, пока не столкнется с врагом или препятствием. При столкновении Оглушает и наносит урон.|向前冲锋，直到您撞到障碍物或敌人造成伤害并使他们目瞪口呆。|障害物や敵にダメージを与えて気絶させるまで、前方にチャージします。|장애물이나 적에게 피해를 입히고 기절시킬 때까지 앞으로 돌진하십시오.|Stürme vorwärts, bis du auf ein Hindernis oder einen Feind stößt, der Schaden nimmt und ihn betäubt.
viking_desc_4|Release a fearsome Warcry, which is powerful enough to knock back enemies and taunt them afterwards.|Vapauta pelottava sotahuuto, joka on tarpeeksi voimakas lyömään vihollisia takaisin ja hämäämään niitä.|Solte um grito de guerra assustador, que é poderoso o suficiente para repelir os inimigos e provocá-los depois.|Издает яростный клич, способный Отбросить врагов вокруг, а затем Спровоцировать их на несколько секунд.|释放令人恐惧的战争，其威力足以击退敌人并在随后嘲讽他们。|恐ろしいウォークライを放ちます。これは、敵をノックバックし、後で敵を罵倒するのに十分強力です。|무시 무시한 전쟁을 펼치십시오. 적을 격추하고 나중에 도발 할 수있을만큼 강력합니다.|Befreie einen furchterregenden Kriegsschrei, der stark genug ist, um Feinde zurückzustoßen und sie anschließend zu verspotten.
viking_desc_5|On attack the Shield Bearer's skin has a chance to adapt the properties of his shield, gaining an increase in armor.|Hyökkäyksessä Kilvenkäyttäjän iholla on mahdollisuus omaksua kilpensä ominaisuudet lisäten panssarin määrää.|Ao atacar, a pele do Portador de Escudo tem a chance de adaptar as propriedades de seu escudo, ganhando um aumento na armadura.|При Базовой Атаке Щитоносец имеет щанс укрепить свою кожу, что дарует Щитоносцу увеличение Брони на несколько секунд.|受到攻击时，盾牌持盾者的皮肤有机会适应其盾牌的属性，从而增加护甲。|シールドベアラーの皮膚を攻撃すると、彼のシールドの特性を適応させる可能性があり、鎧が増加します。|공격시 방패 무기의 피부는 보호막 특성을 조절하여 방어력이 증가합니다.|Bei einem Angriff hat die Haut des Schildträgers die Möglichkeit, die Eigenschaften seines Schildes anzupassen und die Rüstung zu erhöhen.
viking_desc_6|Increases Odin's Fury AOE and gives allies attack speed for each taunted enemy in radius.|Lisää Odinin vihan AOE:tä ja antaa liittolaisille hyökkäysnopeutta jokaista hämättyä vihollista kohden.|Aumenta a AOE da Fúria de Odin e dá aos aliados velocidade de ataque para cada inimigo provocado no raio.|Увеличивает радиус действия Ярости Одина, а также дарует союзникам бонус Скорости Атаки за каждого Спровоцированного врага в радиусе.|增加奥丁的狂怒AOE，并为半径范围内的每个被嘲讽的敌人提供盟军攻击速度。|オーディンのフューリーAOEを増加させ、挑発された半径内の各敵に味方の攻撃速度を与えます。|오딘의 격노 AOE가 증가하고, 도발당한 각 적에게 반경 내 동맹의 공격 속도가 증가합니다.|Erhöht Odins Wut-AOE und gibt Verbündeten Angriffsgeschwindigkeit für jeden verspotteten Feind im Radius.
viking_desc_7|The overwhelming amount of experience with shields make the Shield Bearer able to use it to its full potential, thus increasing block chance and armor.|Valtava määrä kokemusta kilpien kanssa antaa Kilvenkäyttäjälle kyvyn hyödyntää niiden täyttää potentiaalia, nostaen torjunnan mahdollisuutta ja panssaria.|A enorme quantidade de experiência com escudos torna o Portador de Escudos capaz de usá-lo em todo o seu potencial, aumentando assim a chance de bloqueio e a armadura.|Глубокий опыт владения щитами позволяет Щитоносцу использовать весь их потенциал в бою, увеличивая Шанс Блока и Броню.|大量的盾牌经验使盾牌持有者能够充分利用盾牌的潜力，从而增加了格挡几率和装甲。|シールドの圧倒的な量の経験は、シールド持参人がそれを最大限に活用できるようにし、それによりブロックのチャンスと鎧を増やします。|방패에 대한 압도적 인 경험으로 방패 베어러는 방패를 최대한 활용하여 블록 확률과 방어력을 높일 수 있습니다.|Die überwältigende Menge an Erfahrung mit Schilden macht es dem Schildträger möglich, sein volles Potenzial auszuschöpfen, wodurch die Blockchance und die Rüstung erhöht werden.
viking_desc_8|Increases damage by a % for every 1000 armor the Shield Bearer has.|Nostaa fyysistä vanhinkoa prosentilla jokaista 750 panssarin pistettä kohden.|Aumenta o dano físico em um precedente de cada 750 de armadura que o Escudeiro possui.|Дарует увеличение Физического Урона на указанный процент за каждые 750 Брони Щитоносца.|盾牌守卫拥有的每 750 护甲增加物理伤害一倍。|シールドベアラーが持っている 750 鎧ごとに物理ダメージを増加させます。|방패 무기가 가진 방어구 750 개당 물리 공격력이 1 % 씩 증가합니다.|Erhöht den physischen Schaden um einen Prozentsatz von 750 Rüstungen, die der Schildträger hat.
viking_desc_9|Temporarily enter a rage and throw down your weapon, removing the cooldown and mana cost from Shield Bash. (Cannot attack during the rage).|Väliaikaisesti mene raivoon ja heitä alas aseesi, poistamalla palautmisajat ja manakulut Kilpiläimäsystä. (Ei voi hyökätä raivon aikana).|Coloque uma raiva temporariamente e jogue sua arma no chão, removendo o tempo de recarga e custo de mana do Bash Escudo. (Não pode atacar durante a raiva).|Щитоносец временно входит в состояние ярости и бросает на землю свое оружие. На время действия эффекта Удар Щитом не имеет Времени Перезарядки и не стоит Маны, нельзя использовать Базовую Атаку.|暂时进入狂怒状态并放下武器，从盾牌重击中移除冷却时间和法力消耗。 （在狂怒中无法攻击）。|一時的に激怒して武器を投げ、シールドバッシュからクールダウンとマナコストを取り除きます。 （怒りの間攻撃することはできません）。|일시적으로 격노를 시작하고 무기를 내던져 방패 강타의 재사용 대기 시간과 마나 소모량을 제거합니다. (분노 중에는 공격 할 수 없습니다).|Treten Sie vorübergehend in Wut und werfen Sie Ihre Waffe nieder, um die Abklingzeit und die Manakosten von der Schild-Bash zu entfernen. (Kann während der Wut nicht angreifen).
viking_desc_10|The Berserker slams down his weapon, stunning and damaging enemies in his way.|Raivopää läimäisee assensa maahan tainnuttaen ja vahingoittaen vihollisia.|O Berserker golpeia sua arma, atordoando e prejudicando inimigos em seu caminho.|Берсерк со всей силы бьёт по земле своим оружием. Наносит урон врагам и Оглушает их.|狂战士猛击自己的武器，以他的方式击晕并伤害敌人。|バーサーカーは自分の武器を叩きつけ、邪魔して敵に衝撃を与えます。|광전사는 자신의 무기를 쓰러 뜨리고 적을 기절시킵니다.|Der Berserker knallt seine Waffe nieder und betäubt und schädigt Feinde auf seinem Weg.
viking_desc_11|Gives Berserker's attacks a chance to do 2 quick attacks.|Antaa Raivopään hyökkäyksille mahdollisuuden nopeasti iskeä kahdesti.|Dá aos ataques de Berserker a chance de realizar 2 ataques rápidos.|Берсерк с определённым шансом может совершить 2 быстрые Атаки подряд при Базовой Атаке.|使狂战士的攻击有机会进行2次快速攻击。|バーサーカーの攻撃に2つのクイック攻撃を行う機会を与えます。|광전사의 공격이 2 번의 빠른 공격을 할 수있는 기회를 제공합니다.|Gibt Berserkers Angriffen die Chance, zwei schnelle Angriffe auszuführen.
viking_desc_12|Your attacks can leave the enemies crippled, slowing the enemies movement speed. Meanwhile our bloodlust increases movement speed and attack speed.|Hyökkäyksesi voivat jättää viholliset runnotuiksi, aiheuttaen enemmän vahinkoja ja hidastamalla niitä, kun taas verenhimosi lisää liike- ja hyökkäysnopeuttasi.|Seus ataques podem deixar os inimigos aleijados, causando mais dano e diminuindo a velocidade, enquanto sua sede de sangue aumenta a velocidade de movimento e a velocidade de ataque.|Атаки Берсерка с определенным шансом могут Покалечить врагов, нанося больше Урона и Замедляя их, в то время как жажда крови увеличивает его Скорость Атаки и Перемещения.|您的攻击会使敌人残废，造成更大的伤害并使其减速，而您的嗜好会增加移动速度和攻击速度。|あなたの攻撃は敵を不自由にさせ、より多くのダメージを与え、それらを遅くすることができますが、あなたの血欲は移動速度と攻撃速度を増加させます。|당신의 공격은 적을 무력화시켜 더 많은 피해를 입히고 둔화시킬 수 있으며, 피의 욕망은 이동 속도와 공격 속도를 증가시킵니다.|Ihre Angriffe können die Feinde verkrüppeln, mehr Schaden verursachen und sie verlangsamen, während Ihr Blutrausch die Bewegungsgeschwindigkeit und die Angriffsgeschwindigkeit erhöht.
viking_desc_13|The Berserker picks up the nearest enemy and throws it dealing AOE damage. Deals extra damage according to the Berserker's Maximum Health.|Raivopää nostaa lähimmän vihollisen ja heittää sen tuottaen AOE vahinkoa. Tekee lisävahinkoa perustuen Raivopään elämäpisteisiin.|O Berserker pega o inimigo mais próximo e o lança causando dano de AOE. Causa dano extra de acordo com a Vida Máxima do Berserker.|Берсерк хватает ближайшего врага и бросает его, нанося урон по области, зависящий от Здоровья врага.|狂战士拾取了最近的敌人并对其造成AOE伤害。根据狂战士的最大生命值造成额外伤害。|バーサーカーは最も近い敵を拾い、それを投げてAOEダメージを与えます。バーサーカーの最大ヘルスに応じて追加のダメージを与えます。|광전사는 가장 가까운 적을 집어 들고 AOE 피해를 입 힙니다. 광전사의 최대 생명력에 따라 추가 피해를줍니다.|Der Berserker nimmt den nächsten Feind auf und wirft ihn mit AOE-Schaden. Verursacht zusätzlichen Schaden entsprechend der maximalen Gesundheit des Berserkers.
viking_desc_14|The Berserker's expertise in the weapon arts grants him a weapon dependent buff. 2-handed weapons give a bonus % of damage to abilities. Dual wielding gives attack speed.|Raivopään asiantuntemus asetaiteista antaa hänelle aseista riippuvaisen buffin. 2 käden aseet antavat prosentin verran bonus vahinkoa kyvyille. Kaksoiskäyttö antaa hyökkäysnopeutta.|A experiência do Berserker nas artes de armas concede a ele um bônus dependente de armas. Armas de duas mãos dão um bônus percentual de dano às habilidades. O manuseio duplo fornece velocidade de ataque.|При использовании Двуручного оружия дарует Берсерку увеличение урона Способностей, а при использовании Парного Оружия дарует увеличение Скорости Атаки.|狂战士在武器艺术方面的专业知识使他获得了依赖武器的增益。双手武器会给技能造成一定百分比的伤害。双持可以提高攻击速度。|バーサーカーの武器芸術に関する専門知識は、彼に武器依存のバフを与えます。両手武器は、能力へのダメージのボーナスパーセントを与えます。二刀流は攻撃速度を与えます。|무기 기술에 대한 광전사의 전문 기술은 무기 의존 버프를 부여합니다. 양손 무기는 능력에 대한 추가 피해를줍니다. 이중 휘두르는 공격 속도를 제공합니다.|Das Fachwissen des Berserkers in den Waffenkünsten verleiht ihm einen waffenabhängigen Buff. Zweihandwaffen verursachen einen Bonusprozentsatz des Schadens an Fähigkeiten. Dual Wielding gibt Angriffsgeschwindigkeit.
viking_desc_15|Whirl your weapons around in a frenzy like state. Each hit can proc other passive effects besides Zeal. Hits more often the more attackspeed you have with a 0.1 tickrate minimum.|Pyöritä aseitasi ympäri vimmaisessa tilassa. Jokainen osuma voi tuottaa muita passiivisia vaikutuksia. Iskee useammin, mitä enemmän hyökkäysnopeutta sinulla on.|Gire suas armas em um estado frenético. Cada acerto pode processar outros efeitos passivos. Atinge com mais frequência quanto mais velocidade de ataque você tiver.|Берсерк вращается с бешенной скоростью. Попадание по врагам может вызвать срабатывание Пассивных Талантов. Частота нанесения Ударов этим Талантом зависит от Скорости Атаки.|在狂热的状态下旋转武器。每次击中都会触发其他被动效果。击中次数越多，攻击速度就越高。|狂乱のような状態であなたの武器を回してください。各ヒットは他のパッシブエフェクトを発動できます。より頻繁にヒットするほど、攻撃速度が上がります。|광란의 상태로 무기를 소용돌이 치십시오. 각 히트는 다른 패시브 효과를 처리 할 수 있습니다. 공격 속도가 높을수록 더 자주 적중합니다.|Wirbeln Sie Ihre Waffen in einem rasenden Zustand herum. Jeder Treffer kann andere passive Effekte hervorrufen. Treffer häufiger, je mehr Angriffsgeschwindigkeit Sie haben.
viking_desc_16|Endoused in bloodlust, the Berserker seeks the blood of his enemies through more brutal ways, increasing his physical damage.|Verenhimoon päätynyt Raivopää etsii vihollistensa verta julmemmin, lisäämällä vahingon määrää.|Endossado de sede de sangue, o berserker procura o sangue de seus inimigos de maneiras mais brutais, aumentando seu dano.|Переполненный жаждой крови, Берсерк стремится уничтожать врагов всё более и более изощренными способами. Дарует увеличение урона.|狂暴者充斥着嗜血，以更残酷的方式寻找敌人的鲜血，从而增加了他的伤害。|狂暴に悩まされ、狂戦士はより残忍な方法で敵の血を求め、ダメージを増やします。|피의 욕망에 휩싸인 버서커는 잔인한 방법으로 적의 피를 찾아 피해를 증가시킵니다.|Der Berserker ist voller Blutrausch und sucht auf brutalere Weise nach dem Blut seiner Feinde, wodurch sein Schaden erhöht wird.
viking_desc_17|Ymir lays his hands on the Berserker, Infusing him with pure ice. Your attacks and abilities now deal cold damage instead of physical and cause chilling effect.|Ymir laskee kätensä Raivopäälle ja antaa hänelle puhdasta jäätä. Hyökkäyksesi ja kykysi aiheuttavat nyt kylmävahinkoja fyysisten sijasta ja aiheuttavat hidastuksen.|Ymir coloca as mãos no Berserker, infundindo-o com gelo puro. Seus ataques e habilidades agora causam dano frio em vez de físico e causam um lento|Имир возлагает руки на Берсеркера, наполняя его чистым льдом. Ваши атаки и способности теперь наносят урон холодом, а не физическим, и вызывают замедление.|伊米尔将手放在狂战士身上，向他注入纯净的冰块。您的攻击和技能现在造成冰冷伤害而不是物理伤害，并造成一定的伤害。|イミールはバーサーカーに手を置き、純粋な氷を彼に注入します。あなたの攻撃と能力は、物理的ではなく冷気ダメージを与え、スローを引き起こします。|Ymir는 Berserker에게 손을 얹고 순수한 얼음을 주입합니다. 이제 공격과 능력이 물리 대신 냉기 피해를 입히고 느려집니다.|Ymir legt seine Hände auf den Berserker und infundiert ihn mit reinem Eis. Deine Angriffe und Fähigkeiten verursachen jetzt Kälteschaden anstatt physischen und verursachen eine langsame.
viking_desc_18|The Berserker channels all his strength into a powerful smash creating a massive shockwave in front of him, damaging and stunning enemies in its path.|Raivopää kanavoi kaiken voimansa yhteen voimakkaaseen iskuun tuottaen ettensä massivisen paineaallon vahingoittaen ja tainnuttaen vihollisia sen tieltä.|O Berserker canaliza toda sua força em um poderoso esmagamento, criando uma onda de choque maciça na frente dele, danificando e atordoando inimigos em seu caminho.|Берсерк собирает все свои силы в один мощный удар, который вызывает Ударную Волну. Волна наносит урон врагам на своем пути и Оглушает их.|狂战士将他的全部力量转化成强大的粉碎力，在他的面前制造出巨大的冲击波，破坏并击退了敌人。|バーサーカーは彼のすべての強さを強力なスマッシュに振り向け、彼の前に巨大な衝撃波を作り出し、その経路にいる敵にダメージを与え、見事なものにします。|버서커는 자신의 모든 힘을 강력한 스매쉬로 보내어 그의 앞에 엄청난 충격파를 만들어 경로에있는 적에게 피해를주고 충격을줍니다.|Der Berserker kanalisiert seine ganze Kraft in einen mächtigen Schlag, der eine massive Schockwelle vor sich erzeugt und Feinde auf seinem Weg schädigt und betäubt.
||||||||
pyromancer_talent_1|Meteor|Meteori|Meteoro|Метеорит|陨石|メテオ|메테오|Meteor
pyromancer_talent_2|Comet|Komeetta|Cometa|Комета|彗星|彗星|혜성|Komet
pyromancer_talent_3|Blazing Trail|Liekkivana|Trilha ardente|Огненный След|火焰踪迹！|ブレージング・トレール（燃え跡）|타오르는 흔적|Lichterpfad
pyromancer_talent_4|Flame Shield|Tulikilpi|Escudo de Chamas|Огненный Щит|火焰盾|炎の盾|화염 방패|Flammenschild
pyromancer_talent_5|Pyrokinetic Disorder|Pyrokineettinen Epäjärjestys|Transtorno Pirocinético|Хаотичный Пирокинез|热动障碍|発火運動障害|불꽃 운동 장애|Pyrokinetische Störung
pyromancer_talent_6|Splitfire|Jakolieskat|Foguete|Разветвление Снарядов|撕裂之火|スプリットファイア|분열하는 불꽃|Geteiltes Feuer
pyromancer_talent_7|Armageddon|Tuomiopäivä|Armagedônio|Армагеддон|末日|ハルマゲドン|아마겟돈|Armageddon
pyromancer_talent_8|Pandemonium of Flames|Liekkien Hulina|Pandemônio de chamas|Живое Пламя|火焰望台|炎の百鬼夜行|화염의 판 데모 늄|Pandemonium der Flammen
pyromancer_talent_9|Calamity|Katastrofi|Calamidade|Катастрофа|灾害|災害|재난|Unglück
pyromancer_talent_10|Fireflies|Tulikärpäset|Vagalumes|Огоньки|火蝇|蛍|반딧불|Leuchtkäfer
pyromancer_talent_11|Fireswarm|Tuliparvi|Enxame de fogo|Огненный Рой|火元素|ファイアウオーム|따뜻한 불꽃|Brandheiß
pyromancer_talent_12|Fire Nova|Tulinova|Super Nova|Кольцо Огня|火焰新星|ファイア・ノヴァ|신성한 불꽃|Feuerexplosion
pyromancer_talent_13|Burning|Palaminen|Queimando|Воспламенение|燃烧着|燃焼|타고 있는|Verbrennung
pyromancer_talent_14|Extended Flames|Laajennetut Liekit|Chamas estendidas|Всепоглощающее Пламя|烈焰|拡張炎|확장 된 불꽃|Erweiterte Flammen
pyromancer_talent_15|Third-Degree Burns|Kolmannen asteen palovammat|Queimaduras de Terceiro Grau|Ожог Третей Степени|第三度烧伤|サードディグリーバーンズ|3도 화상|Verbrennungen dritten Grades
pyromancer_talent_16|Hydra|Tulikäärme|Hidra|Гидра|九头蛇|ヒドラ|히드라|Hydra
pyromancer_talent_17|Fire Chains|Fire Chains|Fire Chains|Огненные Цепи|Fire Chains|Fire Chains|Fire Chains|Fire Chains
pyromancer_talent_18|Inferno|Liekkimeri|Inferno|Инферно|地狱|インフェルノ|지옥|Inferno
||||||||
pyromancer_desc_1|The Flame Diviner has a chance to launch a huge meteor on auto attack.|Tuliennustajalla on mahdollisuus sinkoa meteoriitteja hyökätessä.|O adivinho da chama tem a chance de lançar um enorme meteoro no ataque.|Прорицатель имеет шанс при Базовой Атаке выпустить огромный метеорит.|烈焰占卜师有机会在攻击时发射巨大的流星。|炎の占い師は攻撃時に巨大な流星を発射する機会があります。|불꽃의 유성은 공격에 큰 유성을 발사 할 수 있습니다.|Der Flammenwahrsager hat die Chance, einen riesigen Meteor im Angriff zu starten.
pyromancer_desc_2|The Flame Diviner calls down a comet to destroy his enemies.|Tuliennustaja kutsuu komeetan tuhoamaan viholliset.|O adivinho chama chama um cometa para destruir seus inimigos.|Прорицатель обрушивает на врагов комету.|烈焰占卜师召唤一颗彗星消灭他的敌人。|炎の占い師は彼の敵を破壊するために彗星を呼び出します。|불꽃 신자는 적을 파괴하기 위해 혜성을 불러냅니다.|Der Flammenwahrsager ruft einen Kometen herab, um seine Feinde zu vernichten.
pyromancer_desc_3|Gives Flame Diviner's projectiles a chance to leave behind a blazing trail that damages and slows enemies.|Antaa Tuliennustajan ammuksille mahdollisuuden tuottaa liekehtivä vana, joka vahingoittaa ja hidastaa vihollisia.|Dá aos projéteis de adivinhadores de chamas a chance de deixar para trás um rastro em chamas que danifica e retarda os inimigos.|Снаряды Базовой Атаки Прорицателя имеют шанс оставить Огненный След, который замедляет врагов и наносит им урон.|使烈焰占卜者的射弹有机会留下炽烈的踪迹，从而伤害和减速敌人。|炎の占い師の発射体に、敵にダメージを与 えて減速させる燃 えるような跡を残 す機会を与えます。|불꽃의 신성 투사 체에게 적에게 피해를주고 속도를 늦추는 타오르는 길 뒤에 남을 기회를줍니다.|Gibt den Projektilen des Flammenwahrnehmers die Chance, eine lodernde Spur zu hinterlassen, die Feinde beschädigt und verlangsamt.
pyromancer_desc_4|The Flame Diviner surrounds himself in flames, temporarily increases his health and maximum resistances. Enemies that come into contact are dealt weapon damage.|Tuliennustaja ympäröi itsesä liekkeihin, väliaikaisesti nostaen elämää ja maksimi vastustuksia. Viholliset, jotka tulevat kosketukseen, ottavat vahinkoa.|O adivinho da chama se envolve em chamas, aumenta temporariamente sua saúde e resistência máxima. Os inimigos que entram em contato são danificados.|Прорицатель временно покрывает себя Огненным Щитом, повышая Здоровье и максимум Сопротивлений. При контакте с Огненным Щитом враги получают урон.|火焰占卜者将自己包围在火焰中，暂时增加了他的健康和最大的抵抗力。接触到的敌人已损坏。|炎の占い師は炎に身を包み、一時的に体力と最大の抵抗力を高めます。接触した敵がダメージを受けます。|불꽃 신성은 불꽃 속에서 자신을 둘러싸고 일시적으로 건강과 최대 저항을 증가시킵니다. 접촉 한 적들이 손상되었습니다.|Der Flammenwahrsager umgibt sich in Flammen, erhöht vorübergehend seine Gesundheit und maximale Widerstände. Gegner, die in Kontakt kommen, werden beschädigt.
pyromancer_desc_5|Creates a large Fire Aura around the Flame Diviner, inflicting fire damage to enemies in its range.|Luo suuren tuliauran liekinjakajan ympärille aiheuttaen palovaurioita sen alueella oleville vihollisille.|Cria uma grande Aura de Fogo ao redor do Divinador de Chamas, causando dano de fogo aos inimigos em seu alcance.|Дарует Прорицателю огненную ауру, которая наносит Урон Огнем врагам в определенном радиусе.|在烈焰分界器周围产生一个大型火光环，对其范围内的敌人造成火焰伤害。|炎の占い師の周りに大きな火のオーラを作成し、その範囲内の敵に火のダメージを与えます。|화염 점쟁이 주위에 큰 화염 오라를 생성하여 범위 내의 적에게 화염 피해를 입 힙니다.|Erzeugt eine große Feueraura um den Flammenwahrsager und fügt Feinden in seiner Reichweite Feuerschaden zu.
pyromancer_desc_6|Gives the Pyromancer a chance to shoot multiple projectiles on auto attack.|Antaa Tuliennustajalle mahdollisuuden ampua useita ammuksia yhden sijaan.|Dá ao adivinho da chama a chance de disparar vários projéteis em vez de um.|Дарует Прорицателю шанс при Базовой Атаке выпустить несолько снарядов вместо одного.|使火焰占卜师有机会射击多个射弹而不是一个。|炎の占い師に1つではなく複数の発射体を発射する機会を与えます。|불꽃 신성에게 하나 대신 여러 발사체를 쏠 수있는 기회를 제공합니다.|Gibt dem Flammenwahrsager die Möglichkeit, mehrere Projektile anstelle von einem abzuschießen.
pyromancer_desc_7|Calls down a rain of meteors striking enemies around the Flame Diviner.|Kutsuu meteoriparven iskien vihollisia Tuliennustajan ympärillä.|Invoca uma chuva de meteoros atingindo inimigos ao redor do adivinho de chamas.|Прорицатель обрушивает метеоритный дождь на врагов вокруг себя.|召唤流星雨袭击火焰占卜者周围的敌人。|炎の占い師の周りの敵を襲う流星の雨を降ろします。|불꽃의 신성 주위에 적을 공격하는 유성의 비를 불렀습니다.|Ruft einen Regen von Meteoren herab, die Feinde um den Flammenwahrsager schlagen.
pyromancer_desc_8|Pyrokinetic Disorder now also lowers enemy Fire Resistance. Does not stack with Third-Degreee burns.|Pyrokineettinen Epäjärjestys myös alentaa vihollisten tulen vastustusta.|O Transtorno Pirocinético agora também reduz a Resistência ao Fogo do inimigo.|Хаотичный Пирокинез также снижает Сопротивление Огню врагов.|热动障碍现在也降低了敌人的火焰抗性。|発火運動障害は、敵の耐火性も低下させます。|불꽃 운동 장애가 이제 적의 화염 저항력을 감소시킵니다.|Die pyrokinetische Störung senkt jetzt auch den Feuerwiderstand des Feindes.
pyromancer_desc_9|Incite destruction into the Flame Diviner temporarily causing every attack to cast Comet and Meteor.|Lietso tuhoa Tuliennustajalla väliaikaisesti aiheuttaen jokaisella  Incite destruction into the Flame Diviner temporarily causing every attack to cast Comet and Meteor.|Incitar a destruição no adivinho da chama temporariamente, fazendo com que todos os ataques lancem o cometa e o meteoro.|Прорицатель временно поддается жажде к разрушению. На время действия Катастрофы каждая Базовая Атака Прорицателя вызывает сотворение Метеорита и Кометы.|在火焰占卜者中煽动破坏，暂时造成每次攻击都将彗星和流星投下。|炎の占い師に破壊を引き起こし、一時的にすべての攻撃で彗星と流星をキャストします。|불꽃을 신성하게 파괴하여 일시적으로 모든 공격이 혜성과 유성을 던지게합니다.|Anstiftung zur Zerstörung des Flammenwahrnehmers, wodurch bei jedem Angriff Komet und Meteor gewirkt werden.
